SIMULATED EQUIVALENT  """OBSERVED VALUE"""  """OBSERVATION NAME"""
54  50  w9_10271994
54  50  w9_11231994
54  50  w9_12291994
54  42  w9_01261995
54  51  w9_02231995
54  51  w9_03301995
54  51  w9_04271995
54  51  w9_05251995
54  50  w9_06291995
54  50  w9_07271995
54  50  w9_08311995
54  50  w9_09281995
54  50  w9_10261995
54  50  w9_11301995
55  50  w9_12281995
55  50  w9_01251996
55  51  w9_02291996
54  51  w9_03281996
54  50  w9_04251996
54  50  w9_05301996
54  50  w9_06271996
54  50  w9_07251996
54  50  w9_08281996
54  50  w9_09261996
54  50  w9_10311996
54  50  w9_11271996
54  51  w9_12261996
54  51  w9_01301997
55  50  w9_02271997
55  50  w9_03271997
55  50  w9_04241997
55  50  w9_05291997
54  50  w9_06261997
54  50  w9_07311997
54  50  w9_08281997
54  50  w9_09251997
54  50  w9_10301997
54  50  w9_11261997
54  50  w9_12311997
54  51  w9_01291998
54  51  w9_02261998
54  38  w9_03261998
54  38  w9_04301998
54  50  w9_05281998
54  50  w9_06251998
54  50  w9_07301998
54  50  w9_08271998
53  50  w9_09241998
54  39  w9_10291998
54  39  w9_11251998
54  51  w9_12311998
54  50  w9_01281999
55  50  w9_02251999
55  50  w9_03251999
54  50  w9_04291999
54  50  w9_05271999
54  50  w9_06241999
54  50  w9_07291999
54  50  w9_08261999
54  50  w9_09301999
54  50  w9_10281999
54  50  w9_11241999
54  50  w9_12301999
54  50  w9_01272000
55  50  w9_02242000
55  50  w9_03302000
55  50  w9_04272000
54  50  w9_05252000
54  50  w9_06292000
54  50  w9_07272000
54  50  w9_08312000
54  50  w9_03282002
55  49  w9_04252002
54  50  w9_05302002
54  49  w9_06272002
54  49  w9_07252002
54  50  w9_08292002
54  49  w9_09262002
54  50  w9_10312002
54  50  w9_11272002
54  50  w9_12262002
54  50  w9_01302003
55  50  w9_02272003
55  50  w9_03272003
54  50  w9_04242003
54  50  w9_05292003
54  50  w9_06262003
54  50  w9_07312003
54  50  w9_08282003
54  50  w9_09252003
54  50  w9_10302003
54  50  w9_11262003
54  50  w9_12182003
55  50  w9_01292004
55  50  w9_02262004
55  50  w9_03252004
55  50  w9_04292004
54  50  w9_05272004
54  50  w9_06242004
54  50  w9_07292004
54  49  w9_08262004
54  49  w9_09302004
54  50  w9_10282004
54  50  w9_11182004
54  50  w9_12232004
55  50  w9_01272005
54  50  w9_02242005
55  50  w9_03312005
55  50  w9_04282005
54  50  w9_05262005
54  50  w9_06302005
54  50  w9_07282005
54  50  w9_08252005
54  50  w9_09292005
54  50  w9_10272005
54  49  w9_11232005
54  50  w9_12222005
54  50  w9_01252006
54  50  w9_02222006
54  50  w9_03292006
54  50  w9_04262006
54  50  w9_05312006
54  50  w9_06282006
54  50  w9_07262006
54  50  w9_08302006
54  50  w9_09272006
54  50  w9_10252006
54  50  w9_11292006
54  51  w9_12272006
54  50  w9_01252007
55  50  w9_02222007
55  50  w9_03292007
54  50  w9_04262007
54  50  w9_05312007
54  50  w9_06282007
54  49  w9_07262007
54  50  w9_08302007
54  50  w9_09272007
54  50  w9_10252007
54  50  w9_11292007
54  50  w9_12272007
54  50  w9_01312008
55  50  w9_02212008
54  50  w9_03272008
54  50  w9_04242008
54  49  w9_05292008
54  50  w9_07312008
54  50  w9_08282008
54  49  w9_09252008
54  50  w9_10302008
54  50  w9_11262008
54  50  w9_12182008
55  50  w9_01292009
55  51  w9_02262009
55  50  w9_03262009
55  49  w9_04302009
54  50  w9_05282009
54  50  w9_06252009
54  50  w9_07302009
54  50  w9_08272009
54  50  w9_09242009
54  50  w9_10292009
54  49  w9_11252009
54  50  w9_12312009
55  39  w9_03252010
54  39  w9_04292010
54  50  w9_05282010
54  50  w9_06242010
54  50  w9_07292010
54  50  w9_08262010
54  50  w9_09302010
54  50  w9_10282010
53  50  w9_11242010
54  51  w9_12302010
54  50  w9_01272011
54  50  w9_02242011
54  51  w9_03312011
54  50  w9_04282011
54  50  w9_05262011
54  50  w9_06302011
54  50  w9_07282011
54  50  w9_08252011
54  49  w9_09292011
54  50  w9_10272011
54  50  w9_11232011
54  50  w9_12152011
53  50  w9_01262012
53  50  w9_02232012
53  35  w9_03292012
53  40  w9_04262012
53  49  w9_05302012
53  50  w9_06282012
53  50  w9_07262012
52  50  w9_08302012
52  50  w9_09272012
52  50  w9_10252012
53  50  w9_11292012
53  38  w9_12272012
53  38  w9_01312013
54  50  w9_02282013
54  50  w9_03282013
54  50  w9_04252013
54  50  w9_05302013
54  50  w9_06272013
53  50  w9_07252013
53  50  w9_08292013
53  50  w9_09262013
53  50  w9_11272013
54  50  w9_12262013
54  49  w9_01302014
54  50  w9_02272014
54  50  w9_03272014
54  50  w9_04242014
54  50  w9_05292014
54  50  w9_06262014
54  50  w9_07312014
53  49  w9_08282014
52  49  w9_09252014
53  47  w10_11011990
53  47  w10_11291990
53  47  w10_12271990
53  47  w10_01311991
53  39  w10_02281991
53  48  w10_03281991
53  41  w10_05021991
52  47  w10_05301991
53  47  w10_06271991
53  47  w10_08011991
53  47  w10_08291991
53  47  w10_09261991
53  47  w10_10311991
53  47  w10_11271991
53  48  w10_01021992
53  47  w10_01301992
53  39  w10_02271992
53  40  w10_04021992
53  47  w10_04301992
53  47  w10_05281992
53  47  w10_07021992
53  47  w10_07301992
53  47  w10_08271992
53  47  w10_10011992
53  47  w10_10291992
53  46  w10_11251992
53  47  w10_12311992
53  48  w10_01281993
53  49  w10_02251993
53  47  w10_04011993
53  47  w10_04291993
53  47  w10_05271993
53  47  w10_07011993
53  47  w10_07291993
53  47  w10_08261993
53  46  w10_09301993
53  47  w10_10281993
53  47  w10_11241993
53  47  w10_12301993
53  47  w10_01271994
53  41  w10_02251994
53  47  w10_03311994
53  47  w10_04281994
53  47  w10_05311994
53  47  w10_06301994
53  47  w10_07281994
53  47  w10_09291994
53  47  w10_10271994
53  47  w10_11231994
53  47  w10_12291994
53  41  w10_01261995
53  47  w10_02231995
53  48  w10_03301995
53  40  w10_04271995
53  47  w10_05251995
53  47  w10_06291995
53  47  w10_07271995
53  47  w10_08311995
53  46  w10_09281995
53  47  w10_10261995
53  47  w10_11301995
53  47  w10_12281995
53  47  w10_01251996
53  47  w10_02291996
53  47  w10_03281996
53  47  w10_04251996
53  47  w10_05301996
53  47  w10_06271996
53  46  w10_07251996
53  46  w10_08281996
53  46  w10_09261996
53  46  w10_10311996
53  47  w10_11271996
53  47  w10_12261996
53  47  w10_01301997
53  42  w10_02271997
53  42  w10_03271997
53  46  w10_04241997
53  46  w10_05291997
53  46  w10_06261997
53  46  w10_07311997
53  46  w10_08281997
53  46  w10_09251997
53  46  w10_10301997
53  47  w10_11261997
53  47  w10_12311997
53  47  w10_01291998
53  48  w10_02261998
53  47  w10_03261998
53  42  w10_04301998
53  47  w10_05281998
53  47  w10_06251998
53  46  w10_07301998
52  46  w10_08271998
52  46  w10_09241998
52  46  w10_10291998
53  45  w10_11251998
53  46  w10_12311998
53  47  w10_01281999
53  47  w10_02251999
53  47  w10_03251999
53  47  w10_04291999
53  46  w10_05271999
53  46  w10_06241999
53  46  w10_07291999
53  46  w10_08261999
53  46  w10_09301999
53  46  w10_10281999
53  46  w10_11241999
53  46  w10_12301999
53  47  w10_01272000
53  47  w10_02242000
53  47  w10_03302000
53  47  w10_04272000
53  46  w10_05252000
53  46  w10_06292000
53  46  w10_07272000
53  46  w10_08312000
53  46  w10_03282002
53  46  w10_04252002
53  46  w10_05302002
53  46  w10_06272002
53  46  w10_07252002
53  46  w10_08292002
53  46  w10_09262002
53  46  w10_10312002
53  46  w10_11272002
53  46  w10_12262002
53  47  w10_01302003
54  46  w10_02272003
53  46  w10_03272003
53  46  w10_04242003
53  46  w10_05292003
53  46  w10_06262003
53  46  w10_07312003
53  46  w10_08282003
53  46  w10_09252003
53  46  w10_10302003
53  46  w10_11262003
53  46  w10_12182003
53  46  w10_01292004
53  47  w10_02262004
53  46  w10_03252004
53  46  w10_04292004
53  46  w10_05272004
53  46  w10_06242004
53  46  w10_07292004
53  46  w10_08262004
53  46  w10_09302004
53  46  w10_10282004
53  46  w10_11182004
53  46  w10_12232004
53  47  w10_01272005
53  47  w10_02242005
53  47  w10_03312005
53  47  w10_04282005
53  46  w10_05262005
53  46  w10_06302005
53  46  w10_07282005
53  46  w10_08252005
53  46  w10_09292005
53  46  w10_10272005
53  46  w10_11232005
53  46  w10_12222005
53  47  w10_01252006
53  46  w10_02222006
53  47  w10_03292006
53  47  w10_04262006
53  47  w10_05312006
53  47  w10_06282006
53  46  w10_07262006
53  46  w10_08302006
53  46  w10_09272006
53  47  w10_10252006
53  47  w10_11292006
53  47  w10_12272006
53  46  w10_01252007
53  47  w10_02222007
53  46  w10_03292007
