Well No., Common Name, Year, Yr_Count, Yr_RMSE, Q1_Count, Q1_RMSE, Q2_Count, Q2_RMSE, Q3_Count, Q3_RMSE, Q4_Count, Q4_RMSE
w29,CVR 5,  2007,    12,2.12,     3,1.91,     3,1.93,     2,2.28,     4,2.30,
w29,CVR 5,  2008,    12,0.72,     4,0.71,     2,0.50,     3,0.31,     3,1.06,
w29,CVR 5,  2009,    12,1.15,     4,1.60,     3,0.86,     3,0.65,     2,1.03,
w29,CVR 5,  2010,    12,0.70,     4,1.12,     3,0.55,     2,0.13,     3,0.06,
w29,CVR 5,  2011,    12,0.43,     3,0.61,     4,0.51,     2,0.15,     3,0.14,
w29,CVR 5,  2012,    12,0.27,     3,0.17,     4,0.35,     3,0.30,     2,0.05,
w29,CVR 5,  2013,    12,0.24,     3,0.20,     4,0.34,     2,0.13,     3,0.19,
w29,CVR 5,  2014,    12,17.98,     4,0.52,     2,0.58,     3,0.42,     3,35.96,
w29,CVR 5,  2015,    11,36.92,     3,37.23,     3,37.06,     1, ,     4,36.57,
w30,Reimers1,All Years,   351,5.50,,,,,,,,,
w30,Reimers1,  1990,     3,5.74,, ,, ,, ,     3,5.74,
w30,Reimers1,  1991,    25,3.99,     9,5.44,    10,3.19,     3,1.72,     3,2.61,
w30,Reimers1,  1992,    27,5.01,    16,5.43,     3,5.95,     3,5.24,     5,1.83,
w30,Reimers1,  1993,    14,6.67,     5,6.99,     4,5.48,     3,7.44,     2,6.81,
w30,Reimers1,  1994,    13,6.25,     4,7.79,     3,7.93,     3,5.01,     3,0.57,
w30,Reimers1,  1995,    22,5.39,    12,6.41,     3,5.18,     2,3.82,     5,2.72,
w30,Reimers1,  1996,    13,2.25,     3,2.33,     3,2.14,     3,2.71,     4,1.86,
w30,Reimers1,  1997,    11,1.37,     3,0.95,     1, ,     4,1.81,     3,1.21,
w30,Reimers1,  1998,    14,1.63,     4,2.82,     3,0.67,     4,0.77,     3,0.72,
w30,Reimers1,  1999,    11,2.74,     2,2.06,     3,4.05,     3,2.65,     3,1.10,
w30,Reimers1,  2000,    14,1.18,     3,1.90,     4,1.40,     2,0.50,     5,0.28,
w30,Reimers1,  2001,    12,0.55,     2,0.45,     3,0.75,     4,0.60,     3,0.14,
w30,Reimers1,  2002,    12,0.80,     3,0.53,     3,0.57,     2,0.41,     4,1.18,
w30,Reimers1,  2003,    13,0.90,     3,1.35,     3,0.62,     3,0.24,     4,0.98,
w30,Reimers1,  2004,    11,0.74,     1, ,     4,0.47,     3,1.15,     3,0.61,
w30,Reimers1,  2005,    11,0.89,     3,0.49,     3,0.67,     3,1.27,     2,0.95,
w30,Reimers1,  2006,    14,0.46,     4,0.31,     2,0.17,     3,0.50,     5,0.60,
w30,Reimers1,  2007,    12,2.32,     3,0.45,     3,0.69,     3,2.14,     3,4.02,
w30,Reimers1,  2008,    13,1.26,     4,0.53,     2,0.03,     3,0.46,     4,2.18,
w30,Reimers1,  2009,    13,2.03,     4,0.44,     3,1.68,     3,2.89,     3,2.52,
w30,Reimers1,  2010,    12,0.90,     4,1.41,     3,0.41,     2,0.38,     3,0.55,
w30,Reimers1,  2011,    12,1.02,     3,0.34,     4,0.83,     2,1.28,     3,1.43,
w30,Reimers1,  2012,    12,1.51,     3,1.61,     4,1.65,     3,1.57,     2,0.79,
w30,Reimers1,  2013,    12,1.69,     3,0.50,     4,1.09,     2,1.62,     3,2.80,
w30,Reimers1,  2014,    12,9.29,     4,2.63,     2,0.68,     3,1.96,     3,18.22,
w30,Reimers1,  2015,    10,21.59,     3,22.32,     3,22.32,     1, ,     3,19.92,
w31,CV High #1,All Years,   346,7.09,,,,,,,,,
w31,CV High #1,  1990,     3,0.47,, ,, ,, ,     3,0.47,
w31,CV High #1,  1991,    26,3.43,     9,0.58,    10,3.94,     3,4.90,     4,4.38,
w31,CV High #1,  1992,    27,6.08,    16,5.64,     3,7.74,     3,7.41,     5,5.40,
w31,CV High #1,  1993,    14,8.06,     5,7.05,     4,8.34,     3,8.76,     2,8.74,
w31,CV High #1,  1994,    13,8.47,     4,9.80,     3,9.74,     3,7.99,     3,4.88,
w31,CV High #1,  1995,    21,6.28,    12,5.78,     3,7.83,     2,6.92,     4,6.07,
w31,CV High #1,  1996,    13,5.34,     2,5.51,     3,5.06,     4,5.24,     4,5.54,
w31,CV High #1,  1997,    12,4.40,     3,4.63,     2,3.52,     4,4.65,     3,4.33,
w31,CV High #1,  1998,    13,5.26,     4,6.34,     2,5.22,     4,4.52,     3,4.57,
w31,CV High #1,  1999,    11,5.89,     2,5.25,     3,6.72,     3,6.26,     3,4.95,
w31,CV High #1,  2000,    13,4.66,     3,5.02,     4,5.30,     2,4.51,     4,3.65,
w31,CV High #1,  2001,    12,3.76,     2,3.39,     3,3.93,     4,3.93,     3,3.58,
w31,CV High #1,  2002,    12,3.82,     3,3.44,     3,3.73,     2,3.77,     4,4.18,
w31,CV High #1,  2003,    12,4.87,     3,5.33,     3,5.00,     3,4.73,     3,4.38,
w31,CV High #1,  2004,    12,4.00,     2,4.48,     4,4.31,     3,3.63,     3,3.58,
w31,CV High #1,  2005,     9,3.70,     3,4.36,     2,4.07,     3,2.98,     1, ,
w31,CV High #1,  2006,    12,3.80,     4,3.43,     2,4.01,     2,3.91,     4,3.99,
w31,CV High #1,  2007,    12,3.04,     3,4.07,     3,3.71,     2,2.81,     4,0.97,
w31,CV High #1,  2008,    12,4.04,     4,3.90,     2,5.01,     3,4.58,     3,2.67,
w31,CV High #1,  2009,    13,4.90,     4,4.41,     3,4.87,     3,5.08,     3,5.34,
w31,CV High #1,  2010,    12,4.18,     4,5.27,     3,4.19,     2,3.30,     3,2.83,
w31,CV High #1,  2011,    12,2.66,     3,2.92,     4,2.88,     2,2.37,     3,2.25,
w31,CV High #1,  2012,    12,2.15,     3,2.03,     4,1.96,     3,2.06,     2,2.73,
w31,CV High #1,  2013,    12,3.77,     3,3.55,     4,3.77,     2,4.05,     3,3.80,
w31,CV High #1,  2014,    12,10.80,     4,2.17,     2,1.50,     3,3.17,     3,21.18,
w31,CV High #1,  2015,    11,24.13,     3,24.39,     3,24.73,     1, ,     4,23.39,
w32,Williams South,All Years,   276,5.78,,,,,,,,,
w32,Williams South,  1990,     3,3.77,, ,, ,, ,     3,3.77,
w32,Williams South,  1991,    23,3.92,     7,5.01,     9,2.95,     3,3.16,     4,4.15,
w32,Williams South,  1992,    14,3.69,     4,4.83,     3,4.13,     3,3.25,     4,1.87,
w32,Williams South,  1993,    13,2.99,     4,4.87,     4,1.96,     3,0.84,     2,1.44,
w32,Williams South,  1994,    13,2.40,     4,3.64,     3,2.16,     3,0.71,     3,1.48,
w32,Williams South,  1995,    13,1.78,     4,1.91,     3,0.88,     2,1.12,     4,2.32,
w32,Williams South,  1996,    11,4.88,     2,1.38,     3,1.32,     3,6.93,     3,6.00,
w32,Williams South,  1997,    12,2.67,     3,1.67,     2,0.17,     4,2.40,     3,4.25,
w32,Williams South,  1998,    11,5.84,     3,4.98,     2,3.63,     4,6.05,     2,7.99,
w32,Williams South,  1999,    11,1.87,     2,1.71,     3,0.94,     3,2.28,     3,2.18,
w32,Williams South,  2000,    13,3.64,     3,2.45,     4,3.39,     2,4.93,     4,3.86,
w32,Williams South,  2001,    12,3.58,     2,3.41,     3,3.75,     4,3.64,     3,3.44,
w32,Williams South,  2002,    12,2.99,     3,2.59,     3,3.39,     2,3.72,     4,2.50,
w32,Williams South,  2003,     6,4.51,     3,3.97,     3,4.99,, ,, ,
w32,Williams South,  2004,     4,2.32,, ,, ,     2,0.74,     2,3.20,
w32,Williams South,  2005,    11,4.53,     3,4.88,     3,4.02,     3,4.67,     2,4.51,
w32,Williams South,  2006,    13,4.68,     4,4.38,     2,4.70,     3,5.77,     4,3.99,
w32,Williams South,  2007,    11,3.79,     2,3.46,     3,3.72,     3,0.85,     3,5.47,
w32,Williams South,  2008,    12,8.06,     4,4.41,     2,8.63,     3,11.81,     3,6.66,
w32,Williams South,  2009,     8,4.87,     4,5.74,     3,4.22,     1, ,, ,
w32,Williams South,  2011,     1, ,, ,, ,, ,     1, ,
w32,Williams South,  2012,    11,7.83,     3,3.25,     4,5.14,     3,10.21,     1, ,
w32,Williams South,  2013,    12,9.86,     3,11.84,     4,6.00,     2,12.16,     3,10.09,
w32,Williams South,  2014,    12,5.25,     4,2.46,     2,4.60,     3,7.25,     3,5.97,
w32,Williams South,  2015,    11,14.75,     3,15.86,     3,15.83,     1, ,     4,12.72,
w33,Williams North,All Years,   268,5.36,,,,,,,,,
w33,Williams North,  1993,     2,2.68,, ,, ,     1, ,     1, ,
w33,Williams North,  1994,    13,1.26,     4,1.09,     3,1.83,     3,1.36,     3,0.37,
w33,Williams North,  1995,    13,3.35,     4,1.94,     3,4.27,     2,4.33,     4,3.11,
w33,Williams North,  1996,    12,2.83,     2,3.20,     3,3.21,     4,2.62,     3,2.39,
w33,Williams North,  1997,    12,2.00,     3,2.84,     2,2.53,     4,1.65,     3,0.30,
w33,Williams North,  1998,    10,3.70,     3,2.83,     2,4.82,     4,3.74,     1, ,
w33,Williams North,  1999,    11,1.54,     2,1.72,     3,2.11,     3,1.36,     3,0.64,
w33,Williams North,  2000,    13,1.54,     3,1.11,     4,2.23,     2,1.42,     4,0.92,
w33,Williams North,  2001,    12,1.09,     2,1.27,     3,1.50,     4,0.99,     3,0.30,
w33,Williams North,  2002,    12,0.93,     3,0.71,     3,1.12,     2,1.40,     4,0.51,
w33,Williams North,  2003,    13,1.89,     3,1.57,     3,2.53,     3,2.29,     4,1.02,
w33,Williams North,  2004,    11,2.10,     1, ,     4,2.30,     3,2.60,     3,1.24,
w33,Williams North,  2005,    11,3.94,     3,3.16,     3,4.61,     3,4.22,     2,3.44,
w33,Williams North,  2006,    13,4.36,     4,4.06,     2,5.07,     3,4.74,     4,3.96,
w33,Williams North,  2007,    12,3.66,     3,4.35,     3,4.32,     2,3.41,     4,2.49,
w33,Williams North,  2008,    12,3.40,     4,2.32,     2,3.70,     3,4.14,     3,3.56,
w33,Williams North,  2009,    13,3.99,     4,3.07,     3,4.18,     3,4.46,     3,4.36,
w33,Williams North,  2010,    12,5.89,     4,5.51,     3,6.47,     2,6.07,     3,5.66,
w33,Williams North,  2011,    12,5.86,     3,5.83,     4,6.23,     2,5.83,     3,5.39,
w33,Williams North,  2012,    10,4.72,     3,5.27,     3,5.05,     3,4.24,     1, ,
w33,Williams North,  2013,    12,4.09,     3,3.26,     4,4.52,     2,4.57,     3,3.87,
w33,Williams North,  2014,    12,9.66,     3,3.35,     2,4.04,     3,4.65,     4,15.72,
w33,Williams North,  2015,    12,16.45,     4,15.44,     3,16.90,     2,16.68,     3,17.11,
w34,Well E,All Years,   219,3.85,,,,,,,,,
w34,Well E,  1997,     3,1.92,, ,, ,, ,     3,1.92,
w34,Well E,  1998,    11,1.11,     2,2.21,     2,1.02,     4,0.28,     3,0.69,
w34,Well E,  1999,    11,0.54,     2,0.14,     3,0.52,     3,0.41,     3,0.78,
w34,Well E,  2000,    13,2.57,     3,1.88,     4,1.34,     2,2.36,     4,3.78,
w34,Well E,  2001,    12,3.61,     2,4.20,     3,3.74,     4,3.28,     3,3.47,
w34,Well E,  2002,    12,2.35,     3,3.33,     3,2.28,     2,1.93,     4,1.60,
w34,Well E,  2003,    12,2.37,     3,0.54,     3,1.60,     3,2.41,     3,3.71,
w34,Well E,  2004,    12,4.26,     2,3.07,     4,3.63,     3,4.63,     3,5.21,
w34,Well E,  2005,    11,3.81,     3,3.44,     3,3.99,     3,3.87,     2,3.96,
w34,Well E,  2006,    13,3.90,     4,3.75,     2,3.40,     3,3.88,     4,4.28,
w34,Well E,  2007,    12,3.54,     3,4.36,     3,3.22,     2,2.79,     4,3.43,
w34,Well E,  2008,    12,2.95,     4,2.68,     2,3.24,     3,3.03,     3,3.03,
w34,Well E,  2009,    13,2.40,     4,3.08,     3,2.14,     3,2.36,     3,1.48,
w34,Well E,  2010,    12,1.73,     4,1.21,     3,1.76,     2,2.10,     3,1.98,
w34,Well E,  2011,    12,1.43,     3,1.44,     4,1.62,     2,1.76,     3,0.75,
w34,Well E,  2012,    12,1.19,     3,1.20,     4,1.53,     3,0.98,     2,0.47,
w34,Well E,  2013,    12,1.05,     3,1.59,     4,0.46,     2,0.59,     3,1.16,
w34,Well E,  2014,    11,5.31,     4,3.19,     1, ,     3,2.67,     3,9.01,
w34,Well E,  2015,    10,10.71,     3,11.26,     3,11.05,     1, ,     3,9.94,
w35,Valley Greens,All Years,   367,3.64,,,,,,,,,
w35,Valley Greens,  1990,     3,3.16,, ,, ,, ,     3,3.16,
w35,Valley Greens,  1991,    26,2.02,     9,3.41,    10,0.13,     3,0.25,     4,0.49,
w35,Valley Greens,  1992,    25,0.83,    16,0.82,     2,0.17,     3,0.80,     4,1.06,
w35,Valley Greens,  1993,    13,0.88,     4,1.32,     4,0.48,     3,0.37,     2,0.98,
w35,Valley Greens,  1994,    14,1.56,     5,1.50,     3,0.58,     3,1.60,     3,2.17,
w35,Valley Greens,  1995,    21,1.48,    12,1.87,     3,1.04,     2,0.22,     4,0.42,
w35,Valley Greens,  1996,    28,2.19,     3,1.12,     2,1.13,     4,0.99,    19,2.56,
w35,Valley Greens,  1997,    13,1.67,     4,2.80,     2,0.93,     4,0.38,     3,0.97,
w35,Valley Greens,  1998,    13,2.68,     4,2.97,     2,2.83,     4,2.32,     3,2.60,
w35,Valley Greens,  1999,    10,1.65,     1, ,     3,1.90,     3,1.49,     3,1.08,
w35,Valley Greens,  2000,    14,2.71,     3,2.57,     4,2.25,     2,2.30,     5,3.23,
w35,Valley Greens,  2001,    12,2.81,     2,3.30,     3,2.99,     4,2.49,     3,2.67,
w35,Valley Greens,  2002,    12,2.72,     3,3.58,     3,2.94,     2,2.02,     4,2.02,
w35,Valley Greens,  2003,    13,1.27,     3,1.71,     3,1.59,     3,0.81,     4,0.80,
w35,Valley Greens,  2004,    11,1.11,     1, ,     4,0.79,     3,0.96,     3,1.52,
w35,Valley Greens,  2005,    11,0.74,     3,1.25,     3,0.27,     3,0.31,     2,0.66,
w35,Valley Greens,  2006,    14,0.58,     4,0.75,     2,1.02,     3,0.07,     5,0.28,
w35,Valley Greens,  2007,    11,0.98,     2,0.16,     3,0.09,     2,0.60,     4,1.57,
w35,Valley Greens,  2008,    13,0.94,     4,1.60,     2,0.52,     3,0.25,     4,0.36,
w35,Valley Greens,  2009,    13,0.95,     4,1.14,     3,0.83,     3,0.24,     3,1.19,
w35,Valley Greens,  2010,    12,1.42,     4,1.99,     3,1.36,     2,0.55,     3,0.84,
w35,Valley Greens,  2011,    12,1.68,     3,1.76,     4,1.82,     2,0.86,     3,1.83,
w35,Valley Greens,  2012,    12,1.60,     3,1.59,     4,1.33,     3,1.42,     2,2.24,
w35,Valley Greens,  2013,    12,2.42,     3,3.72,     4,2.27,     2,1.54,     3,1.05,
w35,Valley Greens,  2014,    13,6.65,     4,0.69,     2,1.38,     3,0.60,     4,11.91,
w35,Valley Greens,  2015,    14,14.07,     4,14.74,     4,14.70,     1, ,     5,13.04,
w36,Rubin,All Years,   312,5.09,,,,,,,,,
w36,Rubin,  1990,     3,7.20,, ,, ,, ,     3,7.20,
w36,Rubin,  1991,    17,4.48,     6,6.85,     5,2.76,     3,0.89,     3,2.50,
w36,Rubin,  1992,    13,3.57,     3,4.64,     3,3.46,     3,1.64,     4,3.78,
w36,Rubin,  1993,    10,2.77,     2,1.90,     4,2.62,     3,3.68,     1, ,
w36,Rubin,  1994,    12,4.31,     3,4.86,     3,3.49,     3,2.81,     3,5.53,
w36,Rubin,  1995,    13,2.75,     4,2.99,     3,2.31,     2,2.07,     4,3.08,
w36,Rubin,  1996,    12,6.26,     3,2.33,     2,1.49,     4,8.68,     3,7.03,
w36,Rubin,  1997,    12,3.77,     3,2.79,     2,3.18,     4,2.68,     3,5.73,
w36,Rubin,  1998,    12,3.62,     3,1.35,     2,1.30,     4,4.47,     3,4.76,
w36,Rubin,  1999,    11,3.66,     2,2.04,     3,1.87,     3,3.23,     3,5.70,
w36,Rubin,  2000,    13,6.47,     3,1.34,     4,1.63,     2,8.96,     4,9.58,
w36,Rubin,  2001,    12,5.82,     2,1.24,     3,1.18,     4,9.23,     3,4.43,
w36,Rubin,  2002,    12,3.85,     3,2.00,     3,2.05,     2,4.62,     4,5.25,
w36,Rubin,  2003,    14,3.33,     3,2.92,     3,2.32,     3,1.40,     5,4.64,
w36,Rubin,  2004,    11,4.32,     1, ,     4,3.45,     3,4.50,     3,5.37,
w36,Rubin,  2005,    11,3.10,     3,2.76,     3,3.27,     3,2.77,     2,3.74,
w36,Rubin,  2006,    13,2.67,     4,2.73,     2,2.66,     3,0.98,     4,3.39,
w36,Rubin,  2007,    12,4.51,     3,3.92,     3,2.57,     2,3.46,     4,6.21,
w36,Rubin,  2008,    12,3.33,     4,2.85,     2,3.04,     3,2.06,     3,4.80,
w36,Rubin,  2009,    13,3.76,     4,5.21,     3,2.98,     3,1.61,     3,3.69,
w36,Rubin,  2010,    12,2.52,     4,2.80,     3,2.61,     2,1.62,     3,2.54,
w36,Rubin,  2011,    12,3.75,     3,2.06,     4,2.52,     2,3.43,     3,5.97,
w36,Rubin,  2012,    12,5.57,     3,2.89,     4,2.39,     3,6.67,     2,9.78,
w36,Rubin,  2013,    12,6.44,     3,10.31,     4,2.49,     2,6.26,     3,5.02,
w36,Rubin,  2014,    11,6.39,     4,6.67,     2,3.06,     2,0.51,     3,9.17,
w36,Rubin,  2015,    12,12.00,     3,12.98,     4,12.79,     1, ,     4,10.31,
w37,Via Millorca,All Years,   322,15.01,,,,,,,,,
w37,Via Millorca,  1990,     3,10.72,, ,, ,, ,     3,10.72,
w37,Via Millorca,  1991,    22,7.67,     6,6.60,     9,8.52,     3,7.38,     4,7.34,
w37,Via Millorca,  1992,    14,1.90,     4,3.37,     3,1.07,     3,0.38,     4,0.55,
w37,Via Millorca,  1993,    13,5.72,     4,4.67,     4,4.83,     3,6.46,     2,7.72,
w37,Via Millorca,  1994,    13,5.64,     4,7.11,     3,3.78,     3,4.15,     3,6.23,
w37,Via Millorca,  1995,    13,10.37,     4,13.18,     3,7.47,     2,6.85,     4,10.52,
w37,Via Millorca,  1996,    12,15.18,     3,9.23,     2,10.61,     4,15.59,     3,20.91,
w37,Via Millorca,  1997,    12,11.90,     3,13.40,     2,9.57,     4,9.27,     3,14.52,
w37,Via Millorca,  1998,    12,14.46,     3,16.56,     2,10.03,     4,11.98,     3,17.42,
w37,Via Millorca,  1999,    11,10.84,     2,15.85,     3,9.20,     3,8.96,     3,9.94,
w37,Via Millorca,  2000,    13,11.85,     3,13.40,     4,8.67,     2,10.29,     4,13.93,
w37,Via Millorca,  2001,    12,15.78,     2,14.60,     3,12.74,     4,14.97,     3,19.83,
w37,Via Millorca,  2002,    12,16.49,     3,14.08,     3,12.74,     2,13.80,     4,21.22,
w37,Via Millorca,  2003,    13,17.25,     3,15.85,     3,13.90,     3,19.12,     4,18.95,
w37,Via Millorca,  2004,    11,12.84,     1, ,     4,10.86,     3,11.50,     3,15.90,
w37,Via Millorca,  2005,    11,13.31,     3,14.31,     3,10.73,     3,13.30,     2,15.15,
w37,Via Millorca,  2006,    13,19.37,     4,17.09,     2,14.80,     3,18.34,     4,23.79,
w37,Via Millorca,  2007,    12,17.18,     3,15.11,     3,13.28,     2,16.89,     4,20.97,
w37,Via Millorca,  2008,    12,18.21,     4,19.83,     2,14.32,     3,16.83,     3,19.55,
w37,Via Millorca,  2009,    13,14.95,     4,13.27,     3,10.71,     3,12.86,     3,21.30,
w37,Via Millorca,  2010,    12,17.09,     4,16.81,     3,12.68,     2,16.04,     3,21.44,
w37,Via Millorca,  2011,    12,23.20,     3,22.93,     4,17.99,     2,21.57,     3,29.75,
w37,Via Millorca,  2012,    13,20.53,     4,18.39,     4,17.71,     3,22.50,     2,26.04,
w37,Via Millorca,  2013,    12,28.53,     3,30.50,     4,24.42,     2,29.78,     3,30.63,
w37,Via Millorca,  2014,    11,15.57,     3,15.94,     2,18.07,     3,19.39,     3,6.46,
w37,Via Millorca,  2015,    12,9.69,     4,11.13,     3,10.81,     1, ,     4,7.16,
w38,Rancho Canada West,All Years,   271,2.44,,,,,,,,,
w38,Rancho Canada West,  1993,     3,0.35,, ,, ,     1, ,     2,0.12,
w38,Rancho Canada West,  1994,    13,0.81,     5,0.66,     2,0.54,     3,0.50,     3,1.30,
w38,Rancho Canada West,  1995,    13,1.85,     4,2.49,     3,2.00,     2,1.25,     4,1.06,
w38,Rancho Canada West,  1996,    12,1.69,     3,1.92,     2,1.62,     4,1.48,     3,1.74,
w38,Rancho Canada West,  1997,    12,1.53,     3,2.69,     2,0.66,     4,0.32,     3,1.32,
w38,Rancho Canada West,  1998,    12,2.45,     3,3.41,     2,2.38,     4,1.82,     3,2.02,
w38,Rancho Canada West,  1999,    10,1.83,     2,2.34,     3,2.13,     2,1.64,     3,1.07,
w38,Rancho Canada West,  2000,    13,1.90,     3,1.67,     4,2.48,     2,1.67,     4,1.46,
w38,Rancho Canada West,  2001,    12,1.71,     2,2.05,     3,2.05,     4,1.52,     3,1.25,
w38,Rancho Canada West,  2002,    12,1.49,     3,2.15,     3,1.66,     2,1.27,     4,0.55,
w38,Rancho Canada West,  2003,    13,1.94,     3,2.30,     3,2.70,     3,1.62,     4,0.90,
w38,Rancho Canada West,  2004,    12,1.26,     2,1.97,     4,1.58,     3,0.52,     3,0.32,
w38,Rancho Canada West,  2005,    10,1.81,     3,2.65,     3,1.64,     2,1.18,     2,0.70,
w38,Rancho Canada West,  2006,    14,1.79,     4,1.99,     2,2.34,     4,1.61,     4,1.41,
w38,Rancho Canada West,  2007,    11,0.82,     2,0.97,     3,1.19,     2,0.63,     4,0.35,
w38,Rancho Canada West,  2008,    12,1.53,     4,2.10,     2,1.51,     3,1.18,     3,0.74,
w38,Rancho Canada West,  2009,    13,1.20,     4,1.23,     3,1.34,     3,0.71,     3,1.41,
w38,Rancho Canada West,  2010,    12,1.69,     4,2.20,     3,1.54,     2,1.09,     3,1.32,
w38,Rancho Canada West,  2011,    12,1.99,     3,2.11,     4,2.14,     2,1.48,     3,1.97,
w38,Rancho Canada West,  2012,    12,1.80,     3,1.80,     4,1.56,     3,1.72,     2,2.29,
w38,Rancho Canada West,  2013,    12,2.25,     3,3.11,     4,2.42,     2,1.81,     3,0.73,
w38,Rancho Canada West,  2014,    12,2.57,     4,0.80,     2,1.05,     3,0.88,     3,4.91,
w38,Rancho Canada West,  2015,    11,7.48,     3,8.26,     3,8.24,     1, ,     4,6.35,
w39,CAWD Rio North,All Years,   230,1.66,,,,,,,,,
w39,CAWD Rio North,  1997,    12,0.66,     3,1.16,     2,0.15,     4,0.20,     3,0.56,
w39,CAWD Rio North,  1998,    12,1.46,     3,2.21,     2,1.60,     4,0.88,     3,0.95,
w39,CAWD Rio North,  1999,    10,0.96,     2,0.96,     3,1.13,     3,1.00,     2,0.54,
w39,CAWD Rio North,  2000,    12,0.80,     3,0.57,     3,1.04,     2,0.89,     4,0.68,
w39,CAWD Rio North,  2001,    12,0.80,     2,0.74,     3,1.01,     4,0.90,     3,0.28,
w39,CAWD Rio North,  2002,    13,0.73,     3,0.96,     3,0.98,     2,0.58,     5,0.35,
w39,CAWD Rio North,  2003,    12,0.80,     3,0.98,     3,0.88,     3,0.87,     3,0.24,
w39,CAWD Rio North,  2004,    12,0.54,     2,0.64,     4,0.68,     3,0.29,     3,0.45,
w39,CAWD Rio North,  2005,    11,0.93,     3,1.42,     3,0.88,     3,0.57,     2,0.23,
w39,CAWD Rio North,  2006,    13,0.82,     4,0.95,     2,1.36,     3,0.62,     4,0.25,
w39,CAWD Rio North,  2007,    12,0.36,     3,0.35,     3,0.21,     2,0.11,     4,0.51,
w39,CAWD Rio North,  2008,    12,0.38,     4,0.49,     2,0.29,     3,0.17,     3,0.41,
w39,CAWD Rio North,  2009,    13,0.42,     4,0.69,     3,0.19,     3,0.14,     3,0.25,
w39,CAWD Rio North,  2010,    12,0.47,     4,0.63,     3,0.55,     2,0.25,     3,0.13,
w39,CAWD Rio North,  2011,    12,0.59,     3,0.71,     4,0.73,     2,0.24,     3,0.38,
w39,CAWD Rio North,  2012,    12,0.29,     3,0.05,     4,0.21,     3,0.26,     2,0.54,
w39,CAWD Rio North,  2013,    12,0.64,     3,1.12,     4,0.38,     2,0.20,     3,0.40,
w39,CAWD Rio North,  2014,    12,2.34,     4,1.65,     2,1.75,     3,1.66,     3,3.67,
w39,CAWD Rio North,  2015,    11,5.64,     3,5.69,     3,5.97,     1, ,     4,5.30,
w40,CAWD Dewtr,All Years,   151,1.73,,,,,,,,,
w40,CAWD Dewtr,  2003,    11,1.57,     2,1.74,     3,1.37,     3,1.41,     3,1.77,
w40,CAWD Dewtr,  2004,    11,1.81,     2,1.73,     4,2.06,     3,1.52,     2,1.76,
w40,CAWD Dewtr,  2005,     9,1.59,     3,1.42,     2,1.86,     2,1.50,     2,1.64,
w40,CAWD Dewtr,  2006,    14,1.57,     4,1.24,     2,1.43,     4,1.61,     4,1.87,
w40,CAWD Dewtr,  2007,    10,1.89,     2,2.08,     3,1.54,     1, ,     4,2.04,
w40,CAWD Dewtr,  2008,    11,1.91,     4,2.01,     1, ,     3,1.83,     3,2.02,
w40,CAWD Dewtr,  2009,    13,1.88,     4,2.30,     3,1.90,     3,1.93,     3,1.00,
w40,CAWD Dewtr,  2010,    12,1.97,     4,2.26,     3,2.33,     2,1.44,     3,1.40,
w40,CAWD Dewtr,  2011,    12,1.64,     3,1.53,     4,2.18,     2,1.38,     3,0.90,
w40,CAWD Dewtr,  2012,    11,1.79,     3,1.90,     4,1.51,     2,2.13,     2,1.79,
w40,CAWD Dewtr,  2013,    12,1.98,     3,2.36,     4,1.38,     2,2.08,     3,2.15,
w40,CAWD Dewtr,  2014,    11,1.81,     3,2.20,     2,1.96,     3,2.12,     3,0.25,
w40,CAWD Dewtr,  2015,    11,0.95,     3,1.03,     3,1.24,     1, ,     4,0.73,
w41,SP Nr CAWD West (D),All Years,   309,1.58,,,,,,,,,
w41,SP Nr CAWD West (D),  1990,     2,2.54,, ,, ,, ,     2,2.54,
w41,SP Nr CAWD West (D),  1991,     8,2.20,     4,2.49,     2,1.35,     1, ,     1, ,
w41,SP Nr CAWD West (D),  1992,     6,1.66,     1, ,     1, ,     1, ,     3,1.80,
w41,SP Nr CAWD West (D),  1993,    16,1.59,     5,0.74,     5,1.23,     3,2.21,     3,2.26,
w41,SP Nr CAWD West (D),  1994,    13,2.20,     3,2.41,     3,2.39,     3,2.54,     4,1.50,
w41,SP Nr CAWD West (D),  1995,    13,1.31,     3,1.35,     3,1.36,     2,1.24,     5,1.29,
w41,SP Nr CAWD West (D),  1996,    14,1.25,     3,1.39,     2,1.15,     5,1.19,     4,1.27,
w41,SP Nr CAWD West (D),  1997,    13,1.63,     3,1.92,     3,1.83,     4,1.52,     3,1.20,
w41,SP Nr CAWD West (D),  1998,    13,1.03,     3,0.97,     3,1.06,     4,1.13,     3,0.90,
w41,SP Nr CAWD West (D),  1999,    11,1.40,     2,1.36,     3,1.38,     3,1.42,     3,1.42,
w41,SP Nr CAWD West (D),  2000,    14,1.20,     3,1.20,     5,1.24,     2,1.26,     4,1.12,
w41,SP Nr CAWD West (D),  2001,    13,1.35,     2,1.31,     4,1.28,     4,1.42,     3,1.38,
w41,SP Nr CAWD West (D),  2002,    12,1.35,     2,1.46,     3,1.45,     3,1.32,     4,1.24,
w41,SP Nr CAWD West (D),  2003,    14,1.47,     3,1.27,     3,1.95,     4,1.27,     4,1.36,
w41,SP Nr CAWD West (D),  2004,    13,1.51,     3,1.33,     4,1.55,     3,1.76,     3,1.37,
