Gage, Time Start, Time Stop, Cutoff min (cfs), Cutoff max (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
DJ,01-Oct-2010,30-Sep-2011,   0,  20, 17.86, 31.73, 13.98,  2.40,   113,0.6128
DJ,01-Oct-2010,30-Sep-2011,  20, 200, 82.65, 63.84, 79.90, 48.85,   181,0.7941
DJ,01-Oct-2010,30-Sep-2011, 200, 500,263.13,176.14,304.55, 81.28,    49,0.3633
DJ,01-Oct-2011,30-Sep-2012,   0,10000, 27.99, 35.72, 23.34, 12.35,   122,0.6463
DJ,01-Oct-2011,30-Sep-2012,   0,  20, 20.86, 10.41, 18.31,  1.56,    64,0.0356
DJ,01-Oct-2011,30-Sep-2012,  20, 200, 31.24, 43.38, 26.52, 14.38,    79,0.6581
NC,01-Oct-1992,30-Sep-1993,   0,10000,218.86,571.49,170.52,385.03,   365,0.8064
NC,01-Oct-1992,30-Sep-1993,   0,  20, 10.09, 37.65,  0.77,  2.91,   192,-0.0121
NC,01-Oct-1992,30-Sep-1993,  20, 200,107.98,111.39, 74.52, 49.45,    92,0.7597
NC,01-Oct-1992,30-Sep-1993, 200, 500,382.33,115.49,327.62, 84.08,    45,0.3388
NC,01-Oct-1993,30-Sep-1994,   0,10000, 33.69, 63.89, 11.32, 41.30,   365,0.5906
NC,01-Oct-1993,30-Sep-1994,   0,  20, 20.26, 32.25,  1.88,  4.06,   322,0.5346
NC,01-Oct-1993,30-Sep-1994,  20, 200,117.47,116.27, 50.69, 33.95,    42,0.7848
NC,01-Oct-1993,30-Sep-1994, 200, 500,218.97,173.44,239.25, 49.57,     4,0.0268
NC,01-Oct-1994,30-Sep-1995,   0,10000,293.72,592.50,245.04,676.83,   365,0.4976
NC,01-Oct-1994,30-Sep-1995,   0,  20, 16.90, 42.24,  2.00,  3.68,   166,-0.1892
NC,01-Oct-1994,30-Sep-1995,  20, 200,126.86, 92.70,101.84, 53.06,   100,0.8179
NC,01-Oct-1994,30-Sep-1995, 200, 500,412.33,253.97,288.96, 78.57,    52,0.8504
NC,01-Oct-1995,30-Sep-1996,   0,10000,112.92,207.85,102.62,213.11,   366,0.6493
NC,01-Oct-1995,30-Sep-1996,   0,  20,  2.51,  6.66,  4.98,  4.72,   193,0.7407
NC,01-Oct-1995,30-Sep-1996,  20, 200,142.04,115.91, 81.37, 53.93,   117,0.3545
NC,01-Oct-1995,30-Sep-1996, 200, 500,334.05,110.89,316.19, 95.69,    37,0.6768
NC,01-Oct-1996,30-Sep-1997,   0,10000,164.68,350.89,143.83,369.65,   365,0.6214
NC,01-Oct-1996,30-Sep-1997,   0,  20,  5.40, 20.49,  1.98,  4.57,   194,0.6051
NC,01-Oct-1996,30-Sep-1997,  20, 200,167.04,248.15, 75.76, 49.88,   114,0.6542
NC,01-Oct-1996,30-Sep-1997, 200, 500,535.75,265.38,331.41, 80.29,    29,0.2917
NC,01-Oct-1997,30-Sep-1998,   0,10000,381.64,745.41,360.58,803.54,   365,0.6667
NC,01-Oct-1997,30-Sep-1998,   0,  20, 35.65, 73.41,  5.22,  6.87,    98,0.1301
NC,01-Oct-1997,30-Sep-1998,  20, 200,102.90,168.59, 81.84, 55.69,   122,0.3929
