Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
    16  CA.gg15   20.00  05-Mar-2009     07-Mar-2009   O         3        22.82
    16  CA.gg15   20.00  08-Mar-2009     14-Oct-2009   U       221         1.33
    16  CA.gg15   20.00  15-Oct-2009     16-Oct-2009   O         2        57.41
    16  CA.gg15   20.00  17-Oct-2009     13-Dec-2009   U        58         3.52
    16  CA.gg15   20.00  15-Dec-2009     18-Jan-2010   U        35         4.53
    16  CA.gg15   20.00  19-Jan-2010     26-Jan-2010   O         8        37.44
    16  CA.gg15   20.00  27-Jan-2010     04-Mar-2010   U        37        10.47
    16  CA.gg15   20.00  05-Mar-2010     08-Mar-2010   O         4        25.15
    16  CA.gg15   20.00  09-Mar-2010     12-Apr-2010   U        35         6.47
    16  CA.gg15   20.00  14-Apr-2010     22-Nov-2010   U       223         1.44
    16  CA.gg15   20.00  23-Nov-2010     25-Nov-2010   O         3        21.10
    16  CA.gg15   20.00  26-Nov-2010     19-Dec-2010   U        24         5.93
    16  CA.gg15   20.00  20-Dec-2010     21-Dec-2010   O         2        23.42
    16  CA.gg15   20.00  24-Dec-2010     29-Dec-2010   U         6        12.88
    16  CA.gg15   20.00  31-Dec-2010     02-Jan-2011   U         3        18.77
    16  CA.gg15   20.00  03-Jan-2011     06-Jan-2011   O         4        22.47
    16  CA.gg15   20.00  07-Jan-2011     18-Feb-2011   U        43         4.74
    16  CA.gg15   20.00  19-Feb-2011     23-Feb-2011   O         5        34.99
    16  CA.gg15   20.00  24-Feb-2011     20-Mar-2011   U        25         8.25
    16  CA.gg15   20.00  21-Mar-2011     29-Mar-2011   O         9        36.02
    16  CA.gg15   20.00  30-Mar-2011     21-Jan-2012   U       298         2.12
    16  CA.gg15   20.00  23-Jan-2012     18-Mar-2012   U        56         4.50
    16  CA.gg15   20.00  20-Mar-2012     27-Mar-2012   U         8        12.92
    16  CA.gg15   20.00  28-Mar-2012     30-Mar-2012   O         3        22.30
    16  CA.gg15   20.00  31-Mar-2012     30-Nov-2012   U       245         1.52
    16  CA.gg15   20.00  01-Dec-2012     10-Dec-2012   O        10        38.61
    16  CA.gg15   20.00  11-Dec-2012     27-Feb-2014   U       444         1.72
    16  CA.gg15   20.00  28-Feb-2014     05-Mar-2014   O         6        38.67
    16  CA.gg15   20.00  06-Mar-2014     12-Dec-2014   U       282         1.79
    16  CA.gg15   20.00  13-Dec-2014     19-Dec-2014   O         7        41.30
    16  CA.gg15   20.00  20-Dec-2014     09-Feb-2015   U        52         3.98
    16  CA.gg15   20.00  11-Feb-2015     01-Oct-2015   U       233         1.32
    14  CL.gg13   20.00  02-Oct-1991     28-Dec-1991   U        88         1.39
    14  CL.gg13   20.00  29-Dec-1991     31-Dec-1991   O         3        43.09
    14  CL.gg13   20.00  01-Jan-1992     05-Jan-1992   U         5         8.72
    14  CL.gg13   20.00  06-Jan-1992     09-Jan-1992   O         4        25.73
    14  CL.gg13   20.00  10-Jan-1992     10-Feb-1992   U        32         4.39
    14  CL.gg13   20.00  11-Feb-1992     04-Apr-1992   O        54        44.94
    14  CL.gg13   20.00  05-Apr-1992     07-Dec-1992   U       247         2.02
    14  CL.gg13   20.00  09-Dec-1992     29-Dec-1992   U        21         4.96
    14  CL.gg13   20.00  30-Dec-1992     03-Jan-1993   O         5        32.41
    14  CL.gg13   20.00  04-Jan-1993     07-Jan-1993   U         4        14.15
    14  CL.gg13   20.00  08-Jan-1993     24-Apr-1993   O       107        64.81
    14  CL.gg13   20.00  25-Apr-1993     08-Feb-1994   U       290         2.82
    14  CL.gg13   20.00  09-Feb-1994     10-Feb-1994   O         2        25.43
    14  CL.gg13   20.00  11-Feb-1994     17-Feb-1994   U         7         8.63
    14  CL.gg13   20.00  18-Feb-1994     23-Feb-1994   O         6        31.94
    14  CL.gg13   20.00  24-Feb-1994     05-Jan-1995   U       316         3.32
    14  CL.gg13   20.00  08-Jan-1995     25-May-1995   O       138        58.39
    14  CL.gg13   20.00  26-May-1995     13-Dec-1995   U       202         2.44
    14  CL.gg13   20.00  14-Dec-1995     17-Dec-1995   O         4        37.01
    14  CL.gg13   20.00  18-Dec-1995     17-Jan-1996   U        31         3.90
    14  CL.gg13   20.00  19-Jan-1996     31-Jan-1996   U        13        12.72
    14  CL.gg13   20.00  01-Feb-1996     02-Feb-1996   O         2        27.74
    14  CL.gg13   20.00  03-Feb-1996     04-Feb-1996   U         2        19.54
